mode,endpoint,direction,fake_c_kind,mean_true_c,mean_fake_c,effect_true_minus_fake,p_true_greater,n_pairs,passes
linear_c_state,rank_reward,A_to_C_to_B,balanced_c,-0.6727325402423104,-0.7143325140564794,0.04159997381416885,0.0001999600079984003,502,True
linear_c_state,rank_reward,A_to_C_to_B,foreign_label_c,-0.6727325402423104,-0.7158746109462892,0.04314207070397884,0.0005998800239952009,502,True
linear_c_state,rank_reward,B_to_C_to_A,shuffled_c,-0.6527032442454557,-0.7369846605329332,0.08428141628747755,0.0001999600079984003,502,True
linear_c_state,rank_reward,B_to_C_to_A,phase_rotated_c,-0.6527032442454557,-0.6846776908075626,0.03197444656210682,0.005398920215956809,502,True
linear_c_state,rank_reward,B_to_C_to_A,random_c,-0.6527032442454557,-0.7357631314638354,0.08305988721837973,0.0001999600079984003,502,True
linear_c_state,rank_reward,B_to_C_to_A,balanced_c,-0.6527032442454557,-0.717347918867321,0.06464467462186523,0.0001999600079984003,502,True
linear_c_state,rank_reward,B_to_C_to_A,foreign_label_c,-0.6527032442454557,-0.7298296881410193,0.07712644389556365,0.0001999600079984003,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,shuffled_c,-0.270176167168365,-0.276386210966296,0.006210043797931009,0.0015996800639872025,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,phase_rotated_c,-0.270176167168365,-0.2763330191555491,0.006156851987184084,0.0013997200559888023,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,random_c,-0.270176167168365,-0.2757858069464202,0.0056096397780551885,0.003199360127974405,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,balanced_c,-0.270176167168365,-0.27687332890592253,0.0066971617375575524,0.0001999600079984003,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,foreign_label_c,-0.270176167168365,-0.2766942017840606,0.006518034615695581,0.007798440311937612,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,shuffled_c,-0.26892912075516967,-0.2781779140963899,0.00924879334122023,0.0001999600079984003,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,phase_rotated_c,-0.26892912075516967,-0.27512672384331605,0.006197603088146302,0.0007998400319936012,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,random_c,-0.26892912075516967,-0.2793353013844601,0.010406180629290426,0.0001999600079984003,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,balanced_c,-0.26892912075516967,-0.2773493154866781,0.00842019473150847,0.0001999600079984003,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,foreign_label_c,-0.26892912075516967,-0.27685066328496677,0.007921542529797078,0.0007998400319936012,502,True
