condition_id,seed,n_folds,state_variant,endpoint_mode,operator_pool,operators,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6e_robust_013,60310,5,side_tfc,rank_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_performance_matched_random,0.23174116979063236,0.0291844107470049,0.2014037633157788,0.00039984006397441024,456,0.9860557768924303
b6e_robust_013,60310,5,side_tfc,rank_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_within_state_shuffle,0.23174116979063236,-0.002318774755031396,0.24051460309530198,0.00039984006397441024,456,0.9860557768924303
b6e_robust_013,60310,5,side_tfc,rank_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_oracle,0.23174116979063236,1.1117820538752037,-0.9044714010560413,1.0,456,0.9860557768924303
b6e_robust_014,60310,5,side_tfc,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_balanced_pool_shuffle,0.22029837379584757,0.09574076232251028,0.11858655335768307,0.00039984006397441024,453,0.9860557768924303
b6e_robust_014,60310,5,side_tfc,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_frequency_matched_random,0.22029837379584757,-0.025474406219193328,0.22400109693922002,0.00039984006397441024,453,0.9860557768924303
b6e_robust_014,60310,5,side_tfc,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_performance_matched_random,0.22029837379584757,0.059824794443920096,0.16419657818833067,0.00039984006397441024,453,0.9860557768924303
b6e_robust_014,60310,5,side_tfc,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_within_state_shuffle,0.22029837379584757,0.005569094704173698,0.2214348191470667,0.00039984006397441024,453,0.9860557768924303
b6e_robust_014,60310,5,side_tfc,rank_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_oracle,0.22029837379584757,1.112498704331316,-0.910535849918177,1.0,453,0.9860557768924303
b6e_robust_015,60310,5,side_tfc,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_balanced_pool_shuffle,0.17558925799087136,0.09743047073232332,0.08258728437833782,0.00039984006397441024,450,0.9860557768924303
b6e_robust_015,60310,5,side_tfc,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_frequency_matched_random,0.17558925799087136,-0.017303796571084447,0.18592842541034849,0.00039984006397441024,450,0.9860557768924303
b6e_robust_015,60310,5,side_tfc,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_performance_matched_random,0.17558925799087136,0.07530729379812003,0.12555099852900578,0.00039984006397441024,450,0.9860557768924303
b6e_robust_015,60310,5,side_tfc,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_within_state_shuffle,0.17558925799087136,0.011154848536546342,0.17276704139957758,0.00039984006397441024,450,0.9860557768924303
b6e_robust_015,60310,5,side_tfc,rank_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_oracle,0.17558925799087136,1.0019491603225386,-0.8579254158768767,1.0,450,0.9860557768924303
b6e_robust_016,60310,5,side_tfc,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_balanced_pool_shuffle,0.13995930247124475,0.0737495303464667,0.05088476189450583,0.009596161535385846,444,0.9860557768924303
b6e_robust_016,60310,5,side_tfc,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_frequency_matched_random,0.13995930247124475,-0.029079262741709692,0.15469320035351616,0.00039984006397441024,444,0.9860557768924303
b6e_robust_016,60310,5,side_tfc,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_performance_matched_random,0.13995930247124475,0.07461898645281215,0.08891017117564017,0.00039984006397441024,444,0.9860557768924303
b6e_robust_016,60310,5,side_tfc,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_within_state_shuffle,0.13995930247124475,0.01438923065620856,0.1373120984933144,0.0011995201919232307,444,0.9860557768924303
b6e_robust_016,60310,5,side_tfc,rank_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_oracle,0.13995930247124475,0.99447779801819,-0.8703692379751083,1.0,444,0.9860557768924303
