heldout_label,selection_mode,selection_value,fold_status,c12_mean,effect_vs_no_topology,effect_vs_reversed,effect_vs_side_broken,effect_vs_shuffled,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,n_positive_specificity_controls,min_specificity_margin
P6,quantile,0.7,valid,-0.010215870429083517,-0.006246833406531195,0.0009519041333746602,-0.009259579888434937,-0.009609402146532763,-0.0030367703011072757,-0.004337015305951445,0.0034068029763293945,-0.005701663354782618,2,-0.009609402146532763
P7,quantile,0.7,valid,-0.013047049245747087,0.021827244368478195,-0.0017228807158189922,-0.005046060598632714,-0.004070616610962065,-0.00955629697413961,-0.024888486218756577,-0.019967588721814197,-0.017675840835764935,1,-0.024888486218756577
P8,quantile,0.7,valid,0.01884414119226816,0.04583522984465081,0.014678636452424766,0.012459741885162235,0.02371311432482909,0.009211520927260304,0.011243885348359458,0.02185274000350397,0.024769090542675877,8,0.009211520927260304
P9,quantile,0.7,valid,-0.016786787518638758,-0.02629827534449874,-0.01862235931278164,-0.01664611335015693,-0.028805988175239165,-0.01960105971847139,-0.002956074745396076,-0.019274758240697028,-0.0022556962257872896,0,-0.028805988175239165
P1,quantile,0.75,valid,-0.028714888339607003,-0.03743664835288553,-0.03711937691015885,-0.047460433370103625,-0.01881736601520044,-0.027922883843338003,-0.05214141052002354,-0.027897959861217334,-0.03545984285474323,0,-0.05214141052002354
P10,quantile,0.75,valid,-0.003857300300483851,-0.007443199327005306,-0.0067941881501293235,-0.006527550793592167,-0.007508944829543351,-0.0008592866800560405,-0.005916821784293249,-0.0005527730785829248,-0.00473747746637084,0,-0.007508944829543351
P11,quantile,0.75,diagnostic_only,,,,,,,,,,0,
P12,quantile,0.75,valid,0.005836310144294243,-0.0018561970089653506,0.020981942888504686,-0.017692669400009044,0.002781336775740671,0.026027406251486612,0.001758384669317492,0.0073762139591874816,-0.00012277750095555668,5,-0.017692669400009044
P13,quantile,0.75,valid,0.0013974383243246641,0.0007234998666677709,-0.009843808153621231,0.0007767793259865584,-0.00018033283094307786,-0.0036025171047015404,-0.0028195535927046196,-0.0017888087215280808,0.006755663852434958,3,-0.009843808153621231
P14,quantile,0.75,valid,-0.0024935538078221186,-0.01886729043050862,-0.013982603236844313,0.005395013557977953,-0.0016146915174690812,-0.004670741480743163,0.007756688027110964,-0.011266736293864156,0.010438810413127775,3,-0.01886729043050862
P15,quantile,0.75,valid,0.0046531113988786885,0.004690084429062539,0.0013698713758684318,0.0011126619139633933,0.003089064845742796,0.007579050310289758,0.0038619197833054423,0.005723114258490512,0.005472702238566977,8,0.0011126619139633933
