mode,endpoint,operator_pool,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
fes_string_conditioned,rank_reward,no_suppress,object,true_vs_balanced,1.123690930764685,2.0002529531320903,-0.8765620223674054,0.9958008398320336,25
fes_string_conditioned,rank_reward,no_suppress,object,true_vs_performance_matched,1.123690930764685,-3.150293522780504,4.273984453545189,0.0001999600079984003,25
fes_string_conditioned,rank_reward,no_suppress,object,true_vs_shuffled_c,1.123690930764685,0.7884678728166015,0.3352230579480836,0.20675864827034593,25
fes_string_conditioned,rank_reward,no_suppress,object,true_vs_phase_rotated,1.123690930764685,2.373762735827481,-1.2500718050627955,1.0,25
fes_string_conditioned,gmr72_bridge_composite,full,object,true_vs_random,1.1298645715569307,-2.794245061645323,3.924109633202254,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,full,object,true_vs_balanced,1.1298645715569307,1.4794235311847046,-0.3495589596277739,0.94501099780044,25
fes_string_conditioned,gmr72_bridge_composite,full,object,true_vs_performance_matched,1.1298645715569307,-2.7822067727316004,3.9120713442885306,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,full,object,true_vs_shuffled_c,1.1298645715569307,1.1454036039584308,-0.015539032401500421,0.5270945810837833,25
fes_string_conditioned,gmr72_bridge_composite,full,object,true_vs_phase_rotated,1.1298645715569307,1.8217601276768858,-0.691895556119955,1.0,25
fes_string_conditioned,gmr72_bridge_composite,core_5,object,true_vs_random,1.20426667639919,-2.6709498365048927,3.8752165129040828,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,core_5,object,true_vs_balanced,1.20426667639919,1.2908024232246367,-0.08653574682544679,0.6636672665466906,25
fes_string_conditioned,gmr72_bridge_composite,core_5,object,true_vs_performance_matched,1.20426667639919,-2.635722997631963,3.8399896740311528,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,core_5,object,true_vs_shuffled_c,1.20426667639919,1.023065695475708,0.18120098092348214,0.2471505698860228,25
fes_string_conditioned,gmr72_bridge_composite,core_5,object,true_vs_phase_rotated,1.20426667639919,1.7885380390373027,-0.5842713626381124,1.0,25
fes_string_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_random,1.1301162255322543,-2.7948615001369665,3.924977725669221,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_balanced,1.1301162255322543,1.4433788586285987,-0.3132626330963443,0.9328134373125375,25
fes_string_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_performance_matched,1.1301162255322543,-2.7169716873505165,3.8470879128827704,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_shuffled_c,1.1301162255322543,1.1095886879160177,0.020527537616236755,0.46610677864427114,25
fes_string_conditioned,gmr72_bridge_composite,no_phase_only,object,true_vs_phase_rotated,1.1301162255322543,1.8287494154106243,-0.6986331898783698,1.0,25
fes_string_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_random,1.2693293388290914,-2.631269200708183,3.9005985395372744,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_balanced,1.2693293388290914,1.353661021856381,-0.08433168302728919,0.6360727854429115,25
fes_string_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_performance_matched,1.2693293388290914,-2.917952677158275,4.187282015987367,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_shuffled_c,1.2693293388290914,1.055876848382896,0.21345249044619563,0.22715456908618276,25
fes_string_conditioned,gmr72_bridge_composite,no_suppress,object,true_vs_phase_rotated,1.2693293388290914,1.870354668798061,-0.6010253299689697,0.9996000799840032,25
linear_c_state,z_reward,full,object,true_vs_random,0.4752695385758441,-3.1688999464140717,3.644169484989916,0.0001999600079984003,67
linear_c_state,z_reward,full,object,true_vs_balanced,0.4752695385758441,2.2885770243218873,-1.813307485746043,1.0,67
linear_c_state,z_reward,full,object,true_vs_performance_matched,0.4752695385758441,-1.375769520235073,1.8510390588109176,0.0001999600079984003,67
linear_c_state,z_reward,full,object,true_vs_shuffled_c,0.4752695385758441,-0.26324659660382843,0.7385161351796725,0.004599080183963208,67
linear_c_state,z_reward,full,object,true_vs_phase_rotated,0.4752695385758441,2.0440695003552323,-1.5687999617793882,1.0,67
linear_c_state,z_reward,core_5,object,true_vs_random,0.7150965658647429,-2.8735161690220092,3.588612734886752,0.0001999600079984003,67
