mode,endpoint,operator_pool,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
gmr72_phase_conditioned,z_reward,full,A_to_C_to_B,intersection,true_vs_random,-0.6724899261213474,-0.7302872415030963,0.05779731538174893,0.0003999200159968006,502
gmr72_phase_conditioned,z_reward,full,A_to_C_to_B,intersection,true_vs_balanced,-0.6724899261213474,-0.7140804129272932,0.04159048680594575,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,full,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6724899261213474,-0.7414074471975124,0.06891752107616489,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,full,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6724899261213474,-0.7029632282266024,0.030473302105254965,0.008998200359928014,502
gmr72_phase_conditioned,z_reward,full,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6724899261213474,-0.7165757912088508,0.044085865087503465,0.001999600079984003,502
gmr72_phase_conditioned,z_reward,full,B_to_C_to_A,intersection,true_vs_random,-0.6633959756237472,-0.700366507702186,0.03697053207843873,0.021395720855828835,502
gmr72_phase_conditioned,z_reward,full,B_to_C_to_A,intersection,true_vs_balanced,-0.6633959756237472,-0.7179173728310504,0.05452139720730322,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,full,B_to_C_to_A,intersection,true_vs_performance_matched,-0.6633959756237472,-0.7733589976409445,0.10996302201719726,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,full,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.6633959756237472,-0.7269888548345714,0.06359287921082428,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,full,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.6633959756237472,-0.7201162732077299,0.056720297583982573,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,core_5,A_to_C_to_B,intersection,true_vs_random,-0.641631278726884,-0.7038199022385456,0.06218862351166178,0.0009998000399920016,502
gmr72_phase_conditioned,z_reward,core_5,A_to_C_to_B,intersection,true_vs_balanced,-0.641631278726884,-0.6843988782875507,0.042767599560666864,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,core_5,A_to_C_to_B,intersection,true_vs_performance_matched,-0.641631278726884,-0.7023870822891428,0.060755803562258875,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,core_5,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.641631278726884,-0.6688227265304559,0.02719144780357199,0.013997200559888023,502
gmr72_phase_conditioned,z_reward,core_5,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.641631278726884,-0.6937456286042191,0.052114349877335285,0.0009998000399920016,502
gmr72_phase_conditioned,z_reward,core_5,B_to_C_to_A,intersection,true_vs_random,-0.6436617639513554,-0.683493922556605,0.03983215860524948,0.013397320535892822,502
gmr72_phase_conditioned,z_reward,core_5,B_to_C_to_A,intersection,true_vs_balanced,-0.6436617639513554,-0.6913834539502628,0.04772168999890731,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,core_5,B_to_C_to_A,intersection,true_vs_performance_matched,-0.6436617639513554,-0.7444786113752779,0.10081684742392236,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,core_5,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.6436617639513554,-0.7008246895713807,0.057162925620025166,0.0005998800239952009,502
gmr72_phase_conditioned,z_reward,core_5,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.6436617639513554,-0.7028132834688922,0.05915151951753664,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,no_phase_only,A_to_C_to_B,intersection,true_vs_random,-0.645162939468008,-0.7072190077930923,0.062056068325084285,0.0003999200159968006,502
gmr72_phase_conditioned,z_reward,no_phase_only,A_to_C_to_B,intersection,true_vs_balanced,-0.645162939468008,-0.6881569958940789,0.04299405642607085,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,no_phase_only,A_to_C_to_B,intersection,true_vs_performance_matched,-0.645162939468008,-0.7074130869731768,0.06225014750516881,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,no_phase_only,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.645162939468008,-0.6732677470740508,0.028104807606042885,0.011197760447910418,502
gmr72_phase_conditioned,z_reward,no_phase_only,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.645162939468008,-0.6961665222240639,0.05100358275605591,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,no_phase_only,B_to_C_to_A,intersection,true_vs_random,-0.6458531041673347,-0.687643926080171,0.04179082191283631,0.008998200359928014,502
gmr72_phase_conditioned,z_reward,no_phase_only,B_to_C_to_A,intersection,true_vs_balanced,-0.6458531041673347,-0.694940429881638,0.04908732571430331,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,no_phase_only,B_to_C_to_A,intersection,true_vs_performance_matched,-0.6458531041673347,-0.7481126793740449,0.10225957520671022,0.0001999600079984003,502
gmr72_phase_conditioned,z_reward,no_phase_only,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.6458531041673347,-0.7041834136877679,0.05833030952043318,0.0003999200159968006,502
gmr72_phase_conditioned,z_reward,no_phase_only,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.6458531041673347,-0.7049491922145478,0.059096088047213065,0.0003999200159968006,502
gmr72_phase_conditioned,z_reward,no_suppress,A_to_C_to_B,intersection,true_vs_random,-0.6712792935703237,-0.7296048691574065,0.05832557558708293,0.0013997200559888023,502
gmr72_phase_conditioned,z_reward,no_suppress,A_to_C_to_B,intersection,true_vs_balanced,-0.6712792935703237,-0.7127779499942714,0.04149865642394772,0.0001999600079984003,502
