mode,weight_endpoint,readout,control_kind,mean_relative_to_q,mean_q_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
gmr72_phase_conditioned,rank_reward,mq_decohered,shuffled_c_intersection,-0.5965141048139374,-0.5938209013967126,0.0026932034172248076,0.3714127443076787,0.911617676464707,Qresidual_to_Relative,502
gmr72_phase_conditioned,rank_reward,mq_decohered,phase_rotated_intersection,-0.6117373729529096,-0.6022640760625918,0.009473296890317857,0.3004105394512661,0.6366726654669066,Qresidual_to_Relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered,true_intersection,-0.5996003225682268,-0.590244964502296,0.009355358065930798,0.3574922295519516,0.6788642271545691,Qresidual_to_Relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered,random_intersection,-0.5773174042291566,-0.6124615224582979,-0.0351441182291413,0.374550994830898,0.15056988602279545,Relative_to_Qresidual,502
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.9996000799840032,Relative_to_Qresidual,502
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered,performance_matched_intersection,-0.5916905778636399,-0.6009627106213158,-0.009272132757675933,0.2755971866265076,0.6164767046590682,Relative_to_Qresidual,502
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered,shuffled_c_intersection,-0.5984387017945322,-0.5964290880712775,0.002009613723254757,0.3494627604231343,0.9200159968006398,Qresidual_to_Relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered,phase_rotated_intersection,-0.599674495390458,-0.5875930088289285,0.012081486561529589,0.3355457985846793,0.5864827034593081,Qresidual_to_Relative,502
fes_string_conditioned,z_reward,mq_decohered,true_intersection,-0.5864183692185706,-0.5886526910846693,-0.0022343218660987496,0.34911465105149786,0.9168166366726654,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,mq_decohered,random_intersection,-0.5999217890874755,-0.6053864253063311,-0.005464636218855649,0.4120764908696966,0.857628474305139,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.9996000799840032,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,mq_decohered,performance_matched_intersection,-0.5919729420274661,-0.59576695049948,-0.003794008472014085,0.35496445489890305,0.8724255148970206,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,mq_decohered,shuffled_c_intersection,-0.5884579495523978,-0.598153862692986,-0.009695913140588078,0.3517316949935629,0.673865226954609,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,mq_decohered,phase_rotated_intersection,-0.581959287740946,-0.5921795913963163,-0.010220303655370275,0.32864065269652826,0.6352729454109178,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,mq_decohered,true_intersection,-0.5844273623379598,-0.5882624491874053,-0.003835086849445543,0.34342813452103865,0.8598280343931214,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,mq_decohered,random_intersection,-0.5999217890874755,-0.6053864253063311,-0.005464636218855649,0.4120764908696966,0.8468306338732253,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.9986002799440112,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,mq_decohered,performance_matched_intersection,-0.5885859867696014,-0.5916212609781963,-0.0030352742085950216,0.38009643530873505,0.905618876224755,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,mq_decohered,shuffled_c_intersection,-0.5865981864060839,-0.5960717628888594,-0.009473576482775659,0.34213475010476574,0.6674665066986603,Relative_to_Qresidual,502
fes_string_conditioned,rank_reward,mq_decohered,phase_rotated_intersection,-0.5817172377326738,-0.5925889032376176,-0.010871665504943825,0.3254244329036089,0.5942811437712457,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,mq_decohered,true_intersection,-0.5924110144552454,-0.5929028727979113,-0.0004918583426658633,0.33437708918801234,0.977004599080184,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,mq_decohered,random_intersection,-0.5999217890874755,-0.6053864253063311,-0.005464636218855649,0.4120764908696966,0.8428314337132573,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.999000199960008,Relative_to_Qresidual,502
fes_string_conditioned,gmr72_bridge_composite,mq_decohered,performance_matched_intersection,-0.5916905778636399,-0.6009627106213158,-0.009272132757675933,0.2755971866265076,0.6086782643471306,Relative_to_Qresidual,502
