mode,weight_endpoint,readout,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_random_intersection,-0.5168175094039051,-0.4571162032955442,-0.05970130610836089,0.9304139172165566,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_balanced_intersection,-0.5168175094039051,-0.5410385999651321,0.024221090561226934,0.19956008798240352,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_performance_matched_intersection,-0.5168175094039051,-0.5405727718357695,0.02375526243186433,0.16736652669466107,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_shuffled_c_intersection,-0.5168175094039051,-0.5337980554367314,0.016980546032826296,0.33153369326134774,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_phase_rotated_intersection,-0.5168175094039051,-0.587766882913711,0.0709493735098059,0.008598280343931213,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_random_intersection,0.036550170292518204,0.02724116426857486,0.009309006023943354,0.42391521695660866,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_balanced_intersection,0.036550170292518204,-0.0246597081267326,0.06120987841925084,0.016396720655868825,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_performance_matched_intersection,0.036550170292518204,-0.04506358394374999,0.08161375423626821,0.0057988402319536095,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_shuffled_c_intersection,0.036550170292518204,-0.010653232838179096,0.04720340313069731,0.041191761647670466,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_phase_rotated_intersection,0.036550170292518204,-0.08950671199487785,0.12605688228739606,0.0009998000399920016,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_random_intersection,-0.5029978951424651,-0.5123069011664083,0.009309006023943361,0.42651469706058787,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_balanced_intersection,-0.5029978951424651,-0.5642077735617159,0.061209878419250824,0.01899620075984803,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_performance_matched_intersection,-0.5029978951424651,-0.5846116493787333,0.08161375423626821,0.008398320335932814,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_shuffled_c_intersection,-0.5029978951424651,-0.5502012982731624,0.04720340313069732,0.03479304139172166,101
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_phase_rotated_intersection,-0.5029978951424651,-0.629054777429861,0.12605688228739606,0.0007998400319936012,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_random_intersection,0.0031211555405393446,0.082431862139439,-0.07931070659889967,0.9968006398720256,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_balanced_intersection,0.0031211555405393446,-0.0014905345301488506,0.004611690070688174,0.36312737452509497,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_performance_matched_intersection,0.0031211555405393446,0.006785794038024288,-0.003664638497484946,0.5830833833233353,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_shuffled_c_intersection,0.0031211555405393446,-0.003143380344991564,0.006264535885530908,0.33833233353329334,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_phase_rotated_intersection,0.0031211555405393446,-0.01999772438158957,0.023118879922128913,0.08218356328734253,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_random_intersection,-0.536426909894444,-0.4571162032955442,-0.07931070659889965,0.9966006798640272,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_balanced_intersection,-0.536426909894444,-0.5410385999651321,0.004611690070688166,0.35012997400519896,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_performance_matched_intersection,-0.536426909894444,-0.5327622713969591,-0.0036646384974849625,0.5808838232353529,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_shuffled_c_intersection,-0.536426909894444,-0.542691445779975,0.006264535885530917,0.34653069386122776,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_phase_rotated_intersection,-0.536426909894444,-0.559545789816573,0.023118879922128913,0.07538492301539693,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_random_intersection,-0.0057876446777644355,0.02724116426857486,-0.03302880894633929,0.8080383923215357,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_balanced_intersection,-0.0057876446777644355,-0.0246597081267326,0.018872063448968166,0.03739252149570086,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_performance_matched_intersection,-0.0057876446777644355,-0.018874245498409332,0.013086600820644893,0.2953409318136373,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_shuffled_c_intersection,-0.0057876446777644355,-0.025927400514038964,0.020139755836274535,0.014997000599880024,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_phase_rotated_intersection,-0.0057876446777644355,-0.04108916265058473,0.035301517972820294,0.05458908218356329,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_random_intersection,-0.5453357101127477,-0.5123069011664083,-0.033028808946339305,0.8098380323935213,101
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_balanced_intersection,-0.5453357101127477,-0.5642077735617159,0.018872063448968156,0.03739252149570086,101
