label,idx_in_session,event_class,event_role,delta,future_AB,return_gain,pre_AB,TFC_mean,TFC_min,A_C,B_C,A_B_at_t,closure_min_z,constraint_closure_min_z
P15,83.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.1722136786319333,-0.1299336788203382,0.3021473574522715,0.2330259128590145,0.12331300472851933,0.12331300472851933,0.3339242867443994,0.24184044710412475,0.0035851344214009157,-0.591479405717107
P15,176.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.15102334064147435,-0.020581758453638854,0.1716050990951132,0.26192067706526073,0.13828889661554744,0.13828889661554744,0.30123353477472964,0.34623959980550506,-0.19064764918832397,-0.10996959468435212
P15,202.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.15431605116648123,-0.18062239328148,0.3349384444479612,0.1863558273093694,0.09770228131481998,0.21021394906945406,0.25115125154383416,0.09770228131481998,-0.16046633111868838,-0.8692182546617623
P15,297.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.13229482329270034,0.09760633481117711,0.03468848848152323,0.3012704291184011,0.17263209340599786,0.17263209340599786,0.44395256514314896,0.2872266288060564,-1.0122733241364017,-1.0122733241364017
P15,341.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.25185661263242437,0.187996282260519,0.06386033037190536,0.21616091279572966,0.16059800236984512,0.16059800236984512,0.17929240227119703,0.30859233374614686,-0.8200259290634719,-0.8200259290634719
P15,343.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.22110795913534861,0.07850468888190268,0.14260327025344594,0.1592161107044973,0.1576079383739564,0.1576079383739564,0.1596877780934832,0.16035261564605224,-0.5559255211401162,-0.5559255211401162
P15,358.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.2324191971047618,0.21932549774867996,0.013093699356081845,0.17783062856360365,0.09944544336002727,0.09944544336002727,0.2641379276567614,0.16990851467402232,-1.154586653960258,-1.154586653960258
P15,380.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.3353869259853864,0.3192292052953964,0.016157720689989996,0.22655508483249168,0.11806762941350908,0.2975302472950031,0.11806762941350908,0.2640673777889629,-1.1343942327170202,-1.1343942327170202
P15,392.0,b55_tfc_min_gated_c_event,secondary_closure,20,,,,0.1786724578053497,0.10772345244766685,0.23670455698792664,0.19158936398045562,0.10772345244766685,-0.26120402054682373,-0.26120402054682373
P15,400.0,b55_tfc_min_gated_c_event,secondary_closure,20,,,,0.22644031976422418,0.1349701930651718,0.20896384024211437,0.1349701930651718,0.3353869259853864,0.4623755847962543,0.4623755847962543
P15,8.0,b55_density_only_gate,density_control,30,0.27074562605723107,,,0.2057835357194732,0.11370654669871795,0.34286912283999177,0.11370654669871795,0.1607749376197099,0.14947006560792392,0.14947006560792392
P15,15.0,b55_density_only_gate,density_control,30,0.3083532227388866,,,0.24708744817147354,0.22316747420792007,0.262456201506656,0.22316747420792007,0.2556386687998445,0.7751348419982562,0.7751348419982562
P15,25.0,b55_density_only_gate,density_control,30,0.203607414114398,0.02026947521108377,0.18333793890331423,0.1541891209763628,0.11911710287019933,0.17065449810468825,0.17279576195420085,0.11911710287019933,-0.6320735230473165,-0.6320735230473165
P15,62.0,b55_density_only_gate,density_control,30,0.24221585684558408,-0.07853943746542572,0.3207552943110098,0.14388270407296366,0.12590485098293802,0.13492093255042498,0.17082232868552802,0.12590485098293802,-0.7881934072046458,-0.7881934072046458
P15,74.0,b55_density_only_gate,density_control,30,0.3091092365648455,0.0678552043872952,0.24125403217755031,0.14013947628808499,0.11097772832216725,0.12677854862643162,0.18266215191565613,0.11097772832216725,-0.8448951973250337,-0.8448951973250337
