source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags,denominator_universe,raw_numerator,raw_denominator,raw_fraction,raw_count_recovered,carrier_dimension_R,reduced_fraction,c12_neighborhood,reversed_region,ring_share_region,survivor_strength_region,five_or_ten_proxy_region,x3_or_7mod12_proxy_region,boundary_or_reverse_side,reverse_side_readout,c_side_localization,c_side_localization_score,candidate_family,full_carrier_rank_integral,punctured_carrier_rank_integral,candidate_rank,projector_level,topology_compatibility_candidate,trace_determinant_candidate,basis
paired_boundary,c12_ring_share_5,reverse-stable,,full_minus_reverse,abs_mean_delta_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_5|5_or_10_proxy|even_n,paired_boundary_scaled_metric,1,1,1/1,False,12,1/1,True,False,True,False,True,False,True,True,registered_c_side_target,4,full_carrier_projector_rank_candidate,True,True,12.0,3,True,True,paired_boundary_scaled_metric; R=12; rank=12
paired_boundary,c12_ring_share_7,reverse-stable,,full_minus_reverse,reverse_win_fraction,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_7|x3_or_7mod12_proxy|even_n,paired_seed_runs,36,36,36/36,True,12,1/1,True,False,True,False,False,True,True,True,registered_c_side_target,4,full_carrier_projector_rank_candidate,True,True,12.0,3,True,True,raw=36/36/paired_seed_runs; R=12; rank=12
readout_deviation_from_c12,c10_ring_share_5,boundary,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n,topology_readout_scaled_metric,1,1,1/1,False,10,1/1,False,False,True,False,True,False,True,False,registered_c_side_target,2,full_carrier_projector_rank_candidate,True,True,10.0,3,True,True,topology_readout_scaled_metric; R=10; rank=10
readout_rank_scaled,c12_ring_share_11,reverse-stable,c_to_ab_magnitude_only,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n,topology_readout_scaled_metric,1,1,1/1,False,12,1/1,True,False,True,False,False,False,True,True,registered_c_side_target,4,full_carrier_projector_rank_candidate,True,True,12.0,3,True,True,topology_readout_scaled_metric; R=12; rank=12
readout_deviation_from_c12,c10_side_broken,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n,topology_readout_scaled_metric,1,1,1/1,False,10,1/1,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,full_carrier_projector_rank_candidate,True,True,10.0,3,True,True,topology_readout_scaled_metric; R=10; rank=10
readout_rank_scaled,c12_ring_share_11,reverse-stable,c_to_ab_receiver_only,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n,topology_readout_scaled_metric,1,1,1/1,False,12,1/1,True,False,True,False,False,False,True,True,registered_c_side_target,4,full_carrier_projector_rank_candidate,True,True,12.0,3,True,True,topology_readout_scaled_metric; R=12; rank=12
readout_deviation_from_c12,c10_ring_share_5,boundary,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n,topology_readout_scaled_metric,1,1,1/1,False,10,1/1,False,False,True,False,True,False,True,False,registered_c_side_target,2,full_carrier_projector_rank_candidate,True,True,10.0,3,True,True,topology_readout_scaled_metric; R=10; rank=10
readout_rank_scaled,c12_ring_share_11,reverse-stable,c_to_ab_standpoint_only,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n,topology_readout_scaled_metric,1,1,1/1,False,12,1/1,True,False,True,False,False,False,True,True,registered_c_side_target,4,full_carrier_projector_rank_candidate,True,True,12.0,3,True,True,topology_readout_scaled_metric; R=12; rank=12
readout_deviation_from_c12,c11,boundary,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,odd_n,topology_readout_scaled_metric,1,1,1/1,False,11,1/1,False,False,False,False,False,False,True,False,non_target_or_broad,1,full_carrier_projector_rank_candidate,True,True,11.0,2,False,False,topology_readout_scaled_metric; R=11; rank=11
readout_rank_scaled,c12_ring_share_11,reverse-stable,full_self_consistent_rstar,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_11|even_n,topology_readout_scaled_metric,1,1,1/1,False,12,1/1,True,False,True,False,False,False,True,True,registered_c_side_target,4,full_carrier_projector_rank_candidate,True,True,12.0,3,True,True,topology_readout_scaled_metric; R=12; rank=12
readout_deviation_from_c12,c11,boundary,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,1.0,1/1,1,1,0.0,True,False,False,odd_n,topology_readout_scaled_metric,1,1,1/1,False,11,1/1,False,False,False,False,False,False,True,True,non_target_or_broad,2,full_carrier_projector_rank_candidate,True,True,11.0,2,False,False,topology_readout_scaled_metric; R=11; rank=11
readout_rank_scaled,c12,reverse-stable,reverse_only_c_to_ab,,readout_minmax_scaled,1.0,1/1,1,1,0.0,True,False,False,c12_neighborhood|even_n,topology_readout_scaled_metric,1,1,1/1,False,12,1/1,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,True,12.0,3,True,True,topology_readout_scaled_metric; R=12; rank=12
paired_boundary,c14_ring_share_11,boundary,,full_minus_reverse,full_win_fraction,0.3333333333333333,1/3,1,3,0.0,True,False,False,c14_transition_probe|ring_sharing|ring_share_11|even_n,paired_seed_runs,12,36,12/36,True,14,1/3,False,False,True,False,False,False,True,False,registered_c_side_target,2,diagnostic_fraction_only,False,False,,1,False,False,raw=12/36/paired_seed_runs
paired_boundary,c12_reversed,reverse-stable,,full_minus_reverse,full_win_fraction,0.1111111111111111,1/9,1,9,0.0,True,False,False,c12_neighborhood|reversed|even_n,paired_seed_runs,4,36,4/36,True,12,1/9,True,True,False,False,False,False,True,True,registered_c_side_target,4,diagnostic_fraction_only,False,False,,1,False,False,raw=4/36/paired_seed_runs
paired_boundary,c12_ring_share_10,reverse-stable,,full_minus_reverse,full_win_fraction,0.1111111111111111,1/9,1,9,0.0,True,False,False,c12_neighborhood|ring_sharing|ring_share_10|5_or_10_proxy|even_n,paired_seed_runs,4,36,4/36,True,12,1/9,True,False,True,False,True,False,True,True,registered_c_side_target,4,diagnostic_fraction_only,False,False,,1,False,False,raw=4/36/paired_seed_runs
