condition_id,state_representation,endpoint_mode,operator_pool,seed,n_folds,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6i_042,strength_bin_only,z_reward,core_5,60810,5,8,200,true_policy_vs_performance_matched_random,-0.06805169072132616,-0.022651461841197002,-0.003105062629345655,0.549780087964814,442,1.0
b6i_042,strength_bin_only,z_reward,core_5,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.06805169072132616,0.021074245634820177,-0.047290467693607716,0.8992403038784487,442,1.0
b6i_042,strength_bin_only,z_reward,core_5,60810,5,8,200,true_policy_vs_oracle,-0.06805169072132616,1.0578887394678889,-1.1085684444099664,1.0,442,1.0
b6i_043,strength_bin_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.06805169072132616,-0.051008569545022024,-0.004955298595552091,0.6249500199920032,442,1.0
b6i_043,strength_bin_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.06805169072132616,-0.02225216659073953,-0.0032115120078055714,0.5329868052778889,442,1.0
b6i_043,strength_bin_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_performance_matched_random,-0.06805169072132616,-0.002958704884435559,0.010522013676201189,0.31107556977209116,442,1.0
b6i_043,strength_bin_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.06805169072132616,0.011191945567881735,-0.0512966607698862,0.913234706117553,442,1.0
b6i_043,strength_bin_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_oracle,-0.06805169072132616,1.067896279433008,-1.1342508188943092,1.0,442,1.0
b6i_044,strength_bin_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.043933824414391864,0.0006257385948152186,0.025492135148780345,0.13594562175129948,455,1.0
b6i_044,strength_bin_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_frequency_matched_random,0.043933824414391864,-0.05069092170042606,0.0665149354964209,0.03438624550179928,455,1.0
b6i_044,strength_bin_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_performance_matched_random,0.043933824414391864,0.006303100873183208,0.04323140131664695,0.08076769292283087,455,1.0
b6i_044,strength_bin_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_within_state_shuffle,0.043933824414391864,0.010671982181681205,0.031580032379619545,0.23990403838464613,455,1.0
b6i_044,strength_bin_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_oracle,0.043933824414391864,1.2219141327632141,-1.2019230923798674,1.0,455,1.0
b6i_045,strength_bin_only,rank_reward,full,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.02765602753557906,-0.06674498658876875,0.039251311157990035,0.010795681727309077,473,1.0
b6i_045,strength_bin_only,rank_reward,full,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.02765602753557906,-0.06646963462690553,0.02102138029401237,0.24430227908836466,473,1.0
b6i_045,strength_bin_only,rank_reward,full,60810,5,8,200,true_policy_vs_performance_matched_random,-0.02765602753557906,-0.042669922655809565,0.028852592722616168,0.16913234706117553,473,1.0
b6i_045,strength_bin_only,rank_reward,full,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.02765602753557906,-0.0006756225539129451,-0.025021635849320236,0.7297081167532987,473,1.0
