event_class,event_role,null_index,null_model,n_null_runs,mean_branch_transition_differentiated,sd_branch_transition_differentiated,mean_branch_transition_score,mean_branch_flip_fraction,mean_late_branch_stability
hybrid_cluster_transition,primary_phi_fes,2,degree-matched directed random graph,5,0.07916836688535332,0.0043387458812365045,0.1264093842677344,0.016666666666666666,0.6454905538361417
hybrid_cluster_transition,primary_phi_fes,3,degree-matched directed random graph,5,0.08295140901984331,0.009915375149346579,0.130248197849356,0.03333333333333333,0.5922596207042712
hybrid_cluster_transition,primary_phi_fes,4,degree-matched directed random graph,5,0.08638969263001628,0.009063913014784987,0.1380588202496581,0.03333333333333333,0.6062121664344449
hybrid_cluster_transition,primary_phi_fes,5,degree-matched directed random graph,5,0.08415817349129665,0.00765998607148625,0.1353310120305208,0.041666666666666664,0.5541202613130327
hybrid_cluster_transition,primary_phi_fes,6,degree-matched directed random graph,5,0.08900258937035312,0.009898257791508635,0.14196486956050122,0.05,0.6414958430001318
hybrid_cluster_transition,primary_phi_fes,7,degree-matched directed random graph,5,0.07914622499638252,0.006589226345369658,0.12615208047401363,0.016666666666666666,0.6237994981855011
hybrid_cluster_transition,primary_phi_fes,8,degree-matched directed random graph,5,0.08029960996740278,0.00558249485032896,0.13434235169813621,0.041666666666666664,0.6535132022835782
hybrid_cluster_transition,primary_phi_fes,9,degree-matched directed random graph,5,0.08435111122347752,0.00819561957757672,0.13738807658674915,0.03333333333333333,0.567488914987625
hybrid_cluster_transition,primary_phi_fes,10,degree-matched directed random graph,5,0.08100116554820815,0.005131014965938162,0.1292937014170353,0.016666666666666666,0.6248911854678023
hybrid_cluster_transition,primary_phi_fes,11,degree-matched directed random graph,5,0.07728717236915247,0.003907784524507441,0.1307941666883216,0.016666666666666666,0.6308591455716167
hybrid_cluster_transition,primary_phi_fes,12,degree-matched directed random graph,5,0.08517719582725651,0.0050447347094002195,0.13625310381542377,0.03333333333333333,0.6204290652936224
hybrid_cluster_transition,primary_phi_fes,13,degree-matched directed random graph,5,0.09225064921694845,0.009737429483721813,0.14668386774343803,0.03333333333333333,0.6112128728140516
hybrid_cluster_transition,primary_phi_fes,14,degree-matched directed random graph,5,0.0900495434532477,0.003928849657202683,0.14409772791486194,0.025,0.5772428787171056
hybrid_cluster_transition,primary_phi_fes,15,degree-matched directed random graph,5,0.08158674568551894,0.009910954500276617,0.12981045151133466,0.041666666666666664,0.6001532985878782
hybrid_cluster_transition,primary_phi_fes,16,degree-matched directed random graph,5,0.08723344732038338,0.002465651233055873,0.14006491722906791,0.008333333333333333,0.5799602157182915
hybrid_cluster_transition,primary_phi_fes,17,degree-matched directed random graph,5,0.08300456598599268,0.005200577444531806,0.13246896467921296,0.016666666666666666,0.611198933476833
hybrid_cluster_transition,primary_phi_fes,18,degree-matched directed random graph,5,0.0832656051963331,0.008033877127849365,0.13356727224673812,0.025,0.5770437898831352
hybrid_cluster_transition,primary_phi_fes,19,degree-matched directed random graph,5,0.08153391642152205,0.00240274662778282,0.13107539501287674,0.025,0.621622759901922
hybrid_cluster_transition,primary_phi_fes,20,degree-matched directed random graph,5,0.09036709485754599,0.005163067176533823,0.14442505971217626,0.041666666666666664,0.6221308501413576
hybrid_cluster_transition,primary_phi_fes,21,degree-matched directed random graph,5,0.09240171648931453,0.0060140842761883,0.14652736701442592,0.05833333333333333,0.5322863603954253
hybrid_cluster_transition,primary_phi_fes,22,degree-matched directed random graph,5,0.08263692235634253,0.005515764449993915,0.13516565295408509,0.025,0.5858342624437797
hybrid_cluster_transition,primary_phi_fes,23,degree-matched directed random graph,5,0.07808598832385416,0.0074402159773088545,0.1260889098918699,0.025,0.6206232541584865
hybrid_cluster_transition,primary_phi_fes,24,degree-matched directed random graph,5,0.08139203135404112,0.0073135524279781825,0.12933915702422563,0.016666666666666666,0.6293484492464456
hybrid_cluster_transition,primary_phi_fes,25,degree-matched directed random graph,5,0.07739194314879981,0.003613842784945956,0.1250012994545465,0.0,0.6120050379360824
hybrid_cluster_transition,primary_phi_fes,26,degree-matched directed random graph,5,0.08576800946226228,0.00857301324269841,0.13690502718742906,0.03333333333333333,0.5968886986693127
hybrid_cluster_transition,primary_phi_fes,27,degree-matched directed random graph,5,0.0836746698403106,0.006661926497617512,0.13688788536322666,0.025,0.5939934812355129
hybrid_cluster_transition,primary_phi_fes,28,degree-matched directed random graph,5,0.08152763488585027,0.008348350734046479,0.12943839804055096,0.025,0.6081963171507466
hybrid_cluster_transition,primary_phi_fes,29,degree-matched directed random graph,5,0.0801040781895381,0.003514426238954209,0.12829417450257005,0.008333333333333333,0.6293822991282668
