bridge_variant,operator_pool,direction,comparison,mean_true,mean_control,effect,p_greater,n_pairs
linear_noncyclic,no_phase_only,A_to_C_to_B,true_vs_balanced,-0.2647949141600524,-0.271899439992204,0.007104525832151545,0.0001999600079984003,502
linear_noncyclic,no_phase_only,A_to_C_to_B,true_vs_shuffled_c,-0.2647949141600524,-0.27173135534935744,0.0069364411893050575,0.0003999200159968006,502
linear_noncyclic,no_phase_only,A_to_C_to_B,true_vs_phase_rotated,-0.2647949141600524,-0.2743895873721088,0.009594673212056357,0.0007998400319936012,502
linear_noncyclic,no_phase_only,A_to_C_to_B,true_vs_random,-0.2647949141600524,-0.27736062430087477,0.012565710140822346,0.01279744051189762,502
linear_noncyclic,no_phase_only,A_to_C_to_B,true_vs_performance_matched,-0.2647949141600524,-0.27062370217215465,0.005828788012102242,0.05718856228754249,502
linear_noncyclic,no_phase_only,B_to_C_to_A,true_vs_balanced,-0.2674035815467778,-0.2730989214236629,0.00569533987688518,0.0009998000399920016,502
linear_noncyclic,no_phase_only,B_to_C_to_A,true_vs_shuffled_c,-0.2674035815467778,-0.2731471425490053,0.005743561002227626,0.004599080183963208,502
linear_noncyclic,no_phase_only,B_to_C_to_A,true_vs_phase_rotated,-0.2674035815467778,-0.27329974308723154,0.0058961615404538505,0.027794441111777646,502
linear_noncyclic,no_phase_only,B_to_C_to_A,true_vs_random,-0.2674035815467778,-0.27618174376409294,0.00877816221731522,0.05598880223955209,502
linear_noncyclic,no_phase_only,B_to_C_to_A,true_vs_performance_matched,-0.2674035815467778,-0.2790262717946238,0.011622690247846072,0.0001999600079984003,502
linear_noncyclic,no_suppress,A_to_C_to_B,true_vs_balanced,-0.26594688556489027,-0.27317798516871095,0.007231099603820671,0.0001999600079984003,502
linear_noncyclic,no_suppress,A_to_C_to_B,true_vs_shuffled_c,-0.26594688556489027,-0.2739971741514987,0.008050288586608494,0.0001999600079984003,502
linear_noncyclic,no_suppress,A_to_C_to_B,true_vs_phase_rotated,-0.26594688556489027,-0.27461965964703666,0.008672774082146478,0.0005998800239952009,502
linear_noncyclic,no_suppress,A_to_C_to_B,true_vs_random,-0.26594688556489027,-0.28107929575775553,0.015132410192865316,0.003199360127974405,502
linear_noncyclic,no_suppress,A_to_C_to_B,true_vs_performance_matched,-0.26594688556489027,-0.2709029509788566,0.004956065413966362,0.10377924415116976,502
linear_noncyclic,no_suppress,B_to_C_to_A,true_vs_balanced,-0.2668272666184126,-0.2735716180956093,0.006744351477196732,0.0001999600079984003,502
linear_noncyclic,no_suppress,B_to_C_to_A,true_vs_shuffled_c,-0.2668272666184126,-0.27516212413893826,0.008334857520525643,0.0003999200159968006,502
linear_noncyclic,no_suppress,B_to_C_to_A,true_vs_phase_rotated,-0.2668272666184126,-0.27235421937527654,0.005526952756863976,0.028794241151769647,502
linear_noncyclic,no_suppress,B_to_C_to_A,true_vs_random,-0.2668272666184126,-0.2768078625864558,0.009980595968043208,0.038992201559688064,502
linear_noncyclic,no_suppress,B_to_C_to_A,true_vs_performance_matched,-0.2668272666184126,-0.27797484652895693,0.011147579910544395,0.001799640071985603,502
variable_step_structured,full,A_to_C_to_B,true_vs_balanced,-0.27044542959823814,-0.27732467757047535,0.0068792479722371526,0.0001999600079984003,502
variable_step_structured,full,A_to_C_to_B,true_vs_shuffled_c,-0.27044542959823814,-0.2783784795684361,0.007933049970197883,0.0003999200159968006,502
variable_step_structured,full,A_to_C_to_B,true_vs_phase_rotated,-0.27044542959823814,-0.27860181255614686,0.008156382957908674,0.0003999200159968006,502
variable_step_structured,full,A_to_C_to_B,true_vs_random,-0.27044542959823814,-0.2877556594507557,0.017310229852517567,0.0015996800639872025,502
variable_step_structured,full,A_to_C_to_B,true_vs_performance_matched,-0.27044542959823814,-0.2757899406899402,0.005344511091702002,0.05578884223155369,502
variable_step_structured,full,B_to_C_to_A,true_vs_balanced,-0.27065161141973476,-0.2776942209458552,0.007042609526120418,0.0001999600079984003,502
variable_step_structured,full,B_to_C_to_A,true_vs_shuffled_c,-0.27065161141973476,-0.2795313870943196,0.00887977567458484,0.0001999600079984003,502
variable_step_structured,full,B_to_C_to_A,true_vs_phase_rotated,-0.27065161141973476,-0.27625868256652786,0.005607071146793072,0.021795640871825634,502
variable_step_structured,full,B_to_C_to_A,true_vs_random,-0.27065161141973476,-0.2799663190114402,0.009314707591705463,0.04939012197560488,502
variable_step_structured,full,B_to_C_to_A,true_vs_performance_matched,-0.27065161141973476,-0.2829367399345397,0.012285128514804951,0.0003999200159968006,502
variable_step_structured,core_5,A_to_C_to_B,true_vs_balanced,-0.2562388005410831,-0.26305008409316616,0.0068112835520831,0.0001999600079984003,502
variable_step_structured,core_5,A_to_C_to_B,true_vs_shuffled_c,-0.2562388005410831,-0.26329623012669606,0.007057429585612964,0.0005998800239952009,502
variable_step_structured,core_5,A_to_C_to_B,true_vs_phase_rotated,-0.2562388005410831,-0.2656011257025837,0.009362325161500639,0.001799640071985603,502
variable_step_structured,core_5,A_to_C_to_B,true_vs_random,-0.2562388005410831,-0.26965031539165685,0.013411514850573741,0.009998000399920015,502
variable_step_structured,core_5,A_to_C_to_B,true_vs_performance_matched,-0.2562388005410831,-0.2608038548656848,0.004565054324601665,0.08158368326334733,502
variable_step_structured,core_5,B_to_C_to_A,true_vs_balanced,-0.25816820728780604,-0.2636464844196579,0.005478277131851841,0.0009998000399920016,502
