mode,endpoint,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.275308912504157,-0.2760652893708109,0.000756376866653839,0.2689462107578484,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.275308912504157,-0.2786942602679229,0.0033853477637658586,0.04039192161567687,502
linear_c_state,z_reward,A_to_C_to_B,intersection,true_vs_random,-0.6717387351761208,-0.7101618867468998,0.038423151570779024,0.011197760447910418,502
linear_c_state,z_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.6717387351761208,-0.7140804129272931,0.04234167775117241,0.0001999600079984003,502
linear_c_state,z_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.6717387351761208,-0.7529190781679855,0.08118034299186466,0.0001999600079984003,502
linear_c_state,z_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.6717387351761208,-0.7195886756711976,0.04784994049507672,0.0003999200159968006,502
linear_c_state,z_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.6717387351761208,-0.7172094565657496,0.045470721389628814,0.0005998800239952009,502
linear_c_state,z_reward,B_to_C_to_A,intersection,true_vs_random,-0.6635270324370246,-0.7271216367621366,0.063594604325112,0.0001999600079984003,502
linear_c_state,z_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.6635270324370246,-0.7179173728310504,0.054390340394025925,0.0001999600079984003,502
linear_c_state,z_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.6635270324370246,-0.7523091535051087,0.0887821210680842,0.0001999600079984003,502
linear_c_state,z_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.6635270324370246,-0.7286352788941605,0.06510824645713598,0.0001999600079984003,502
linear_c_state,z_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.6635270324370246,-0.7145949391244248,0.0510679066874002,0.0001999600079984003,502
