event_class,event_role,null_index,null_model,n_nodes,n_directed_edges,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,D12_recovery,D24_recovery
b54s_block_matched_lag_shifted_phi,timing_control,23,degree-matched directed random graph,12,48,0.010952845590710115,0.0015531054921138405,0.7547691877192163,0.6071175896316325
b54s_block_matched_lag_shifted_phi,timing_control,24,degree-matched directed random graph,12,48,0.011742893059797163,0.00149109086436758,0.750874561075014,0.5805097643626563
b54s_block_matched_lag_shifted_phi,timing_control,25,degree-matched directed random graph,12,48,0.012197163322234418,0.0018281693901157812,0.7738580130970738,0.6363166719766524
b54s_block_matched_lag_shifted_phi,timing_control,26,degree-matched directed random graph,12,48,0.012103444518003449,0.001022391237493236,0.7610409624544755,0.6006140353344667
b54s_block_matched_lag_shifted_phi,timing_control,27,degree-matched directed random graph,12,48,0.012732404903238487,0.0010918918011417914,0.786851545411976,0.6596365114783379
b54s_block_matched_lag_shifted_phi,timing_control,28,degree-matched directed random graph,12,48,0.012340585869497248,0.001240281409651424,0.7605374913958863,0.6070202522163025
b54s_block_matched_lag_shifted_phi,timing_control,29,degree-matched directed random graph,12,48,0.011109712072387189,0.0017066400116203936,0.7546041766703517,0.5995494263482485
b54s_block_matched_lag_shifted_phi,timing_control,30,degree-matched directed random graph,12,48,0.014352892940053305,0.0014232975255252724,0.7845956706381738,0.6533008412406331
b54s_block_matched_lag_shifted_phi,timing_control,31,degree-matched directed random graph,12,48,0.015255335452199537,0.00153026420045516,0.784471860551891,0.6458693919785242
b54s_block_matched_lag_shifted_phi,timing_control,32,degree-matched directed random graph,12,48,0.013056802196455405,0.0014896681817476835,0.7830031819077456,0.6376178428849889
b54s_block_matched_lag_shifted_phi,timing_control,33,degree-matched directed random graph,12,48,0.01243281050379199,0.0016250303075688308,0.7654096083917259,0.6242417252497405
b54s_block_matched_lag_shifted_phi,timing_control,34,degree-matched directed random graph,12,48,0.011863879199210626,0.0007862905711611314,0.7669413410384923,0.6080534771496605
b54s_block_matched_lag_shifted_phi,timing_control,35,degree-matched directed random graph,12,48,0.01630201710851084,0.0005291317261154555,0.7928991372460787,0.6594999900513993
b54s_block_matched_lag_shifted_phi,timing_control,36,degree-matched directed random graph,12,48,0.012013256844870571,0.0014987695958534177,0.7753616163284085,0.6330615141584787
b54s_block_matched_lag_shifted_phi,timing_control,37,degree-matched directed random graph,12,48,0.013058731888684415,0.0018754073388249119,0.7882912174564186,0.6625777762907449
b54s_block_matched_lag_shifted_phi,timing_control,38,degree-matched directed random graph,12,48,0.012633862984854756,0.0009753203941180149,0.7849128840902994,0.6412363598084816
b54s_block_matched_lag_shifted_phi,timing_control,39,degree-matched directed random graph,12,48,0.015059279248653261,0.0016932997034982329,0.7823037181221947,0.6434263440060471
b54s_block_matched_lag_shifted_phi,timing_control,40,degree-matched directed random graph,12,48,0.017625681506159355,0.000783127606729059,0.8085540443580578,0.6933077130397475
b54s_block_matched_lag_shifted_phi,timing_control,41,degree-matched directed random graph,12,48,0.013175451868347197,0.001073541452342264,0.7875683211172274,0.648997977790621
b54s_block_matched_lag_shifted_phi,timing_control,42,degree-matched directed random graph,12,48,0.01180694947991708,0.0014444639415746063,0.7773764325370595,0.6557346526846123
b54s_block_matched_lag_shifted_phi,timing_control,43,degree-matched directed random graph,12,48,0.012595563452024776,0.0007245750192830315,0.7860020426315212,0.6475698700709236
b54s_block_matched_lag_shifted_phi,timing_control,44,degree-matched directed random graph,12,48,0.01436183088794434,0.001192098558442864,0.7764616312514367,0.632506297427026
b54s_block_matched_lag_shifted_phi,timing_control,45,degree-matched directed random graph,12,48,0.01749005140873026,0.0009324502958229507,0.8037524753788429,0.6855669735949493
b54s_block_matched_lag_shifted_phi,timing_control,46,degree-matched directed random graph,12,48,0.013810325969085886,0.0019147728183107513,0.7728620037206783,0.6369130291132085
b54s_block_matched_lag_shifted_phi,timing_control,47,degree-matched directed random graph,12,48,0.013584289454191023,0.0011833905592146992,0.771631224184727,0.6218701194633619
b54s_block_matched_lag_shifted_phi,timing_control,48,degree-matched directed random graph,12,48,0.01066283195008443,0.0013792802164576336,0.7528085946938656,0.612735626767266
b54s_block_matched_lag_shifted_phi,timing_control,49,degree-matched directed random graph,12,48,0.013336640999442963,0.0011811484174539704,0.7687588913976494,0.6122000143157776
b54s_block_matched_lag_shifted_phi,timing_control,50,degree-matched directed random graph,12,48,0.015131619539363548,0.0023059545354987376,0.7841920430391691,0.660556658804455
b54s_block_matched_lag_shifted_phi,timing_control,51,degree-matched directed random graph,12,48,0.012388509679082732,0.001166036847102781,0.7315008301905487,0.5421861011397552
b54s_block_matched_lag_shifted_phi,timing_control,52,degree-matched directed random graph,12,48,0.013492430933648202,0.0014790349800120279,0.7746164040239171,0.6398896702071538
b54s_block_matched_lag_shifted_phi,timing_control,53,degree-matched directed random graph,12,48,0.015687287456556367,0.0008173631284828663,0.7907684887649217,0.650989480197745
b54s_block_matched_lag_shifted_phi,timing_control,54,degree-matched directed random graph,12,48,0.01436555854168575,0.002670561500096,0.7761626731695005,0.6391351230958856
b54s_block_matched_lag_shifted_phi,timing_control,55,degree-matched directed random graph,12,48,0.013800412134713036,0.0017615016776608985,0.760557998539609,0.6083599079364564
b54s_block_matched_lag_shifted_phi,timing_control,56,degree-matched directed random graph,12,48,0.011913248063808548,0.001532888367558627,0.7581110324260099,0.6172301080230379
