source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags
paired_boundary,c12_edge_count_null,boundary,,full_minus_reverse,reverse_win_fraction,0.38888888888888884,7/18,7,18,5.551115123125783e-17,True,False,True,c12_neighborhood|even_n
paired_boundary,c8,reverse-stable,,full_minus_reverse,reverse_win_fraction,0.9444444444444445,17/18,17,18,1.1102230246251565e-16,True,False,True,even_n
paired_boundary,c12,reverse-stable,,full_minus_reverse,reverse_win_fraction,0.9444444444444445,17/18,17,18,1.1102230246251565e-16,True,False,True,c12_neighborhood|even_n
paired_boundary,c14_ring_share_11,boundary,,full_minus_reverse,reverse_win_fraction,0.6666666666666667,2/3,2,3,1.1102230246251565e-16,True,False,True,c14_transition_probe|ring_sharing|ring_share_11|even_n
readout_deviation_from_c12,c13_side_broken,full-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.6818254140936573,15/22,15,22,7.232275475499428e-06,True,False,True,c13_full_branch|odd_n
readout_rank_scaled,c14_reversed,boundary,reverse_only_c_to_ab,,readout_minmax_scaled,0.12498649725024709,1/8,1,8,1.3502749752911103e-05,True,False,False,c14_transition_probe|reversed|even_n
readout_deviation_from_c12,c14_reversed,boundary,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.875013502749753,7/8,7,8,1.3502749752980492e-05,True,False,True,c14_transition_probe|reversed|even_n
paired_boundary,c12,reverse-stable,,full_minus_reverse,ci_width_scaled,0.8095398588378152,17/21,17,21,1.6049314005672777e-05,True,False,True,c12_neighborhood|even_n
readout_deviation_from_c12,c14_edge_count_null,full-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.9444690938734813,17/18,17,18,2.4649429036904813e-05,True,False,True,c14_transition_probe|even_n
readout_deviation_from_c12,c10_side_broken,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.9047175942995525,19/21,19,21,4.431046235231495e-05,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_rank_scaled,c10_side_broken,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.09528240570044762,2/21,2,21,4.431046235238434e-05,True,False,True,c10_boundary_candidate|5_or_10_proxy|even_n
readout_deviation_from_c12,c8,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.3570900757879848,5/14,5,14,5.278135487235547e-05,True,False,True,even_n
readout_deviation_from_c12,c8,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.3570900757879848,5/14,5,14,5.278135487235547e-05,True,False,True,even_n
readout_rank_scaled,c10_ring_share_7,full-stable,full_self_consistent_rstar,,readout_minmax_scaled,0.09516273477099303,2/21,2,21,7.536046710220068e-05,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_7|5_or_10_proxy|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c13_ring_share_7,full-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.8946551268290309,17/19,17,19,8.171527623224151e-05,True,False,True,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n
readout_rank_scaled,c13_ring_share_7,full-stable,reverse_only_c_to_ab,,readout_minmax_scaled,0.10534487317096909,2/19,2,19,8.171527623225538e-05,True,False,True,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n
paired_boundary,c10_ring_share_7,full-stable,,full_minus_reverse,ci_width_scaled,0.526401619976802,10/19,10,19,8.583050311783413e-05,True,False,True,c10_boundary_candidate|ring_sharing|ring_share_7|5_or_10_proxy|x3_or_7mod12_proxy|even_n
readout_deviation_from_c12,c11,boundary,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.9582443119087325,23/24,23,24,8.902142460087692e-05,True,False,True,odd_n
readout_deviation_from_c12,c11,boundary,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.9582443119087325,23/24,23,24,8.902142460087692e-05,True,False,True,odd_n
readout_deviation_from_c12,c12_shuffled,reverse-stable,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.5237191090257489,11/21,11,21,9.041478377491696e-05,True,False,True,c12_neighborhood|even_n
readout_deviation_from_c12,c15,boundary,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.8236251055739159,14/17,14,17,9.569380921004011e-05,True,False,True,x3_or_7mod12_proxy|odd_n
readout_deviation_from_c12,c15,boundary,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.8236251055739159,14/17,14,17,9.569380921004011e-05,True,False,True,x3_or_7mod12_proxy|odd_n
readout_deviation_from_c12,c12_ring_share_5,reverse-stable,c_to_ab_magnitude_only,,abs_deviation_from_c12_scaled,0.11120806635693826,1/9,1,9,9.695524582715997e-05,True,False,False,c12_neighborhood|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_deviation_from_c12,c12_ring_share_5,reverse-stable,c_to_ab_standpoint_only,,abs_deviation_from_c12_scaled,0.11120806635693826,1/9,1,9,9.695524582715997e-05,True,False,False,c12_neighborhood|ring_sharing|ring_share_5|5_or_10_proxy|even_n
readout_rank_scaled,c12_edge_count_null,boundary,c_to_ab_magnitude_only,,readout_minmax_scaled,0.40919404697846745,9/22,9,22,0.00010313788755833553,True,False,True,c12_neighborhood|even_n
readout_rank_scaled,c12_edge_count_null,boundary,c_to_ab_standpoint_only,,readout_minmax_scaled,0.40919404697846745,9/22,9,22,0.00010313788755833553,True,False,True,c12_neighborhood|even_n
readout_deviation_from_c12,c15,boundary,c_to_ab_receiver_only,,abs_deviation_from_c12_scaled,0.8262011203302584,19/23,19,23,0.00011416380851925201,True,False,True,x3_or_7mod12_proxy|odd_n
