source,representation_arm,topology_arm,metric,value,nearest_target_fraction,abs_error_to_target,is_close_to_target,top4_labels_by_event_strength,resonance_tags
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,c12_reversed,abs_topology_deviation_from_c12_fraction,0.0003149904261372001,2/11,0.18150319139204463,False,,reversed_c12
representation_event_localization,c_to_ab_receiver_standpoint_magnitude,representation_events,top4_precision_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_standpoint_magnitude,representation_events,top4_recall_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_standpoint_magnitude,representation_events,top4_jaccard_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_magnitude,representation_events,top4_precision_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_magnitude,representation_events,top4_recall_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_magnitude,representation_events,top4_jaccard_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_standpoint,representation_events,top4_precision_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_standpoint,representation_events,top4_recall_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_standpoint,representation_events,top4_jaccard_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P20|P24|P25,unassigned
representation_event_localization,c_to_ab_receiver_only,representation_events,top4_precision_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P17|P20|P24,unassigned
representation_event_localization,c_to_ab_receiver_only,representation_events,top4_recall_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P17|P20|P24,unassigned
representation_event_localization,c_to_ab_receiver_only,representation_events,top4_jaccard_vs_registered,0.0,2/11,0.18181818181818182,False,P13|P17|P20|P24,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,degree_matched_null,abs_topology_deviation_from_c12_fraction,0.7699459122632671,3/4,0.01994591226326714,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,c12_shuffled,abs_topology_deviation_from_c12_fraction,0.7232141283099948,3/4,0.026785871690005236,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,edge_count_matched_null,abs_topology_deviation_from_c12_fraction,0.720475172453027,3/4,0.029524827546973054,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,edge_count_matched_null,abs_topology_deviation_from_c12_fraction,0.713375394526927,3/4,0.036624605473073,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,c12_shuffled,abs_topology_deviation_from_c12_fraction,0.6826310017191275,3/4,0.0673689982808725,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,c12_shuffled,abs_topology_deviation_from_c12_fraction,0.8232542897052172,3/4,0.07325428970521719,False,,unassigned
topology_deviation_from_c12_scaled,full_self_consistent_rstar,edge_count_matched_null,abs_topology_deviation_from_c12_fraction,0.8466668853088762,3/4,0.09666688530887624,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,c12_shuffled,abs_topology_deviation_from_c12_fraction,0.859137985505379,3/4,0.10913798550537901,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,c12_side_broken,abs_topology_deviation_from_c12_fraction,0.6401191625836824,3/4,0.1098808374163176,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,degree_matched_null,abs_topology_deviation_from_c12_fraction,0.8687710050694537,3/4,0.1187710050694537,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,c12_side_broken,abs_topology_deviation_from_c12_fraction,0.8763838455035405,3/4,0.12638384550354054,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,c12_shuffled,abs_topology_deviation_from_c12_fraction,0.8945276800458928,3/4,0.14452768004589278,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,c12_shuffled,abs_topology_deviation_from_c12_fraction,0.8958523552107441,3/4,0.14585235521074413,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,c12_side_broken,abs_topology_deviation_from_c12_fraction,0.8987782982449593,3/4,0.14877829824495925,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,edge_count_matched_null,abs_topology_deviation_from_c12_fraction,0.9078626928948267,3/4,0.15786269289482668,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,degree_matched_null,abs_topology_deviation_from_c12_fraction,0.9082094133111464,3/4,0.15820941331114635,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,c12_shuffled,abs_topology_deviation_from_c12_fraction,0.9158238803753068,3/4,0.16582388037530682,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,edge_count_matched_null,abs_topology_deviation_from_c12_fraction,0.9354135247058644,3/4,0.18541352470586436,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,degree_matched_null,abs_topology_deviation_from_c12_fraction,0.937179845509999,3/4,0.187179845509999,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,c12_side_broken,abs_topology_deviation_from_c12_fraction,0.9929969591401818,3/4,0.24299695914018182,False,,unassigned
topology_deviation_from_c12_scaled,full_self_consistent_rstar,c13,abs_topology_deviation_from_c12_fraction,0.9940695389948172,3/4,0.2440695389948172,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,edge_count_matched_null,abs_topology_deviation_from_c12_fraction,1.00425207587003,3/4,0.25425207587002996,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,c13,abs_topology_deviation_from_c12_fraction,1.0086019056014026,3/4,0.2586019056014026,False,,unassigned
topology_deviation_from_c12_scaled,full_self_consistent_rstar,degree_matched_null,abs_topology_deviation_from_c12_fraction,1.0174355097403576,3/4,0.26743550974035757,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,c13,abs_topology_deviation_from_c12_fraction,1.021242841715525,3/4,0.27124284171552504,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,degree_matched_null,abs_topology_deviation_from_c12_fraction,1.031218030344338,3/4,0.2812180303443379,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,c14,abs_topology_deviation_from_c12_fraction,1.0312551774667063,3/4,0.28125517746670625,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,c13,abs_topology_deviation_from_c12_fraction,1.046636674405365,3/4,0.296636674405365,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,c14,abs_topology_deviation_from_c12_fraction,1.0498529902954583,3/4,0.2998529902954583,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,c14,abs_topology_deviation_from_c12_fraction,1.0547022060721882,3/4,0.30470220607218823,False,,unassigned
topology_deviation_from_c12_scaled,full_self_consistent_rstar,c12_shuffled,abs_topology_deviation_from_c12_fraction,1.067873309383567,3/4,0.31787330938356706,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,c14,abs_topology_deviation_from_c12_fraction,1.0727304945053517,3/4,0.32273049450535174,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,c14,abs_topology_deviation_from_c12_fraction,1.0792764277120588,3/4,0.3292764277120588,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,c10,abs_topology_deviation_from_c12_fraction,1.0815010426476577,3/4,0.3315010426476577,False,,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,full_self_consistent_rstar,c14,abs_topology_deviation_from_c12_fraction,1.0914331090667897,3/4,0.3414331090667897,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,c13,abs_topology_deviation_from_c12_fraction,1.105017008895391,3/4,0.355017008895391,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,c13,abs_topology_deviation_from_c12_fraction,1.1129284567927682,3/4,0.3629284567927682,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,c14,abs_topology_deviation_from_c12_fraction,1.1184169247797424,3/4,0.3684169247797424,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,edge_count_matched_null,abs_topology_deviation_from_c12_fraction,1.1241844579083309,3/4,0.3741844579083309,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,c11,abs_topology_deviation_from_c12_fraction,1.1276853900455621,3/4,0.3776853900455621,False,,11mod12_reflective_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,c10,abs_topology_deviation_from_c12_fraction,1.1280907168144083,3/4,0.3780907168144083,False,,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,c13,abs_topology_deviation_from_c12_fraction,1.1281432168633174,3/4,0.3781432168633174,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,c14,abs_topology_deviation_from_c12_fraction,1.1388567900779147,3/4,0.38885679007791474,False,,unassigned
topology_deviation_from_c12_scaled,full_self_consistent_rstar,c10,abs_topology_deviation_from_c12_fraction,1.1549084981168591,3/4,0.40490849811685914,False,,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,c10,abs_topology_deviation_from_c12_fraction,1.1605023252761384,3/4,0.4105023252761384,False,,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,c10,abs_topology_deviation_from_c12_fraction,1.1629608896546242,3/4,0.4129608896546242,False,,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,c13,abs_topology_deviation_from_c12_fraction,1.1766710890268204,3/4,0.4266710890268204,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,c11,abs_topology_deviation_from_c12_fraction,1.1914189078681006,3/4,0.44141890786810056,False,,11mod12_reflective_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,c11,abs_topology_deviation_from_c12_fraction,1.191912817126365,3/4,0.4419128171263651,False,,11mod12_reflective_proxy
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,c10,abs_topology_deviation_from_c12_fraction,1.209380906315378,3/4,0.459380906315378,False,,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,c11,abs_topology_deviation_from_c12_fraction,1.2239933153792761,3/4,0.47399331537927614,False,,11mod12_reflective_proxy
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,c11,abs_topology_deviation_from_c12_fraction,1.2269739850066739,3/4,0.4769739850066739,False,,11mod12_reflective_proxy
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,c10,abs_topology_deviation_from_c12_fraction,1.2331778887139835,3/4,0.4831778887139835,False,,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,c10,abs_topology_deviation_from_c12_fraction,1.2367313091481484,3/4,0.48673130914814844,False,,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,c11,abs_topology_deviation_from_c12_fraction,1.2387403295481894,3/4,0.48874032954818936,False,,11mod12_reflective_proxy
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,c11,abs_topology_deviation_from_c12_fraction,1.2402605798038764,3/4,0.4902605798038764,False,,11mod12_reflective_proxy
topology_deviation_from_c12_scaled,full_self_consistent_rstar,c11,abs_topology_deviation_from_c12_fraction,1.284923222105151,3/4,0.534923222105151,False,,11mod12_reflective_proxy
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,degree_matched_null,abs_topology_deviation_from_c12_fraction,1.3295435570222862,3/4,0.5795435570222862,False,,unassigned
