mode,endpoint,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection_access_effect,true_vs_balanced_intersection,-0.2756598373274323,-0.2773493154866781,0.0016894781592458482,0.3197360527894421,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection_access_effect,true_vs_performance_matched_intersection,-0.2756598373274323,-0.2801364813382327,0.00447664401080038,0.17776444711057787,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection_access_effect,true_vs_shuffled_c_intersection,-0.2756598373274323,-0.2790329231552318,0.0033730858277994957,0.29474105178964205,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection_access_effect,true_vs_phase_rotated_intersection,-0.2756598373274323,-0.28581591450187477,0.010156077174442427,0.02299540091981604,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,opposite_access_effect,true_vs_random_intersection,-0.0009555861233429444,0.001827728876116597,-0.002783314999459542,0.6828634273145371,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,opposite_access_effect,true_vs_balanced_intersection,-0.0009555861233429444,-0.0013226676528911088,0.00036708152954816785,0.45550889822035595,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,opposite_access_effect,true_vs_performance_matched_intersection,-0.0009555861233429444,-0.010599310249895315,0.009643724126552372,0.014197160567886422,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,opposite_access_effect,true_vs_shuffled_c_intersection,-0.0009555861233429444,-0.00220156390314497,0.0012459777798020264,0.39472105578884226,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,opposite_access_effect,true_vs_phase_rotated_intersection,-0.0009555861233429444,-0.004955342634915494,0.003999756511572551,0.1957608478304339,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,own_access_effect,true_vs_random_intersection,0.0007703096732834864,0.003553624672743028,-0.002783314999459541,0.6770645870825834,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,own_access_effect,true_vs_balanced_intersection,0.0007703096732834864,0.0004032281437353201,0.0003670815295481674,0.46270745850829836,475
