topology_class,topology_name,topology_role,n_nodes,n_directed_edges,edge_convention,event_class,condition,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,primary_p_value,effect_vs_time_shifted,effect_vs_random_event,primary_candidate_pre_fdr,notes,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,interpretation
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,FES_phase_transition,endogenous,192,0.09999999999999999,19.2,differentiated_recovery,0.7515527950310559,-5.460279463617257e-05,-0.001695804868725546,False,primary non-D12 contrast,-0.0024133914557459015,0.004214910954816139,0.4968228706122069,0.005069040298656937,0.49781790421958194,0.007119899064615976,0.8698959619813728,0.0018878203036234381,-0.0011579932645393992,0.001803894658295947,0.5978673779665318,0.034310964609495564,0.7438187418413926,0.008197300091661882,24.0,0.0,0.5346905824262551,0.005732964832836228,0.5194099147527202,0.0044460192307343325,0.8589174800354924,exploratory_polyhedral_or_contrast_result
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,FES_phase_transition,time_shifted,192,0.09999999999999999,19.2,differentiated_recovery,,,,False,primary non-D12 contrast,-0.002497193558476751,0.003890607804922242,0.5005056244153419,0.006044147957349318,0.5098332055778039,0.0056595333251469706,0.8693200730790507,0.001988628123899196,-0.0011033904699032267,0.0017068311496588073,0.34498333833137007,0.0326940024130845,0.7415597596791779,0.00995605178366853,25.0,0.0,0.5304407709676762,0.005271011838972805,0.5321470000025188,0.004368957310376595,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,FES_phase_transition,random_event,192,0.09999999999999999,19.2,differentiated_recovery,,,,False,primary non-D12 contrast,0.001259793258135562,0.0019128445940356112,0.5034307358985981,0.0027697983606437267,0.49105259958769576,0.00230760254349389,0.8694793492731832,0.0022636077954839053,0.0005378116041861467,0.0009145207984277677,0.4459352282504387,0.02909823847848809,0.7098946200357842,0.007349240901487383,190.0,0.0,0.5521937825159905,0.00391324167360818,0.5102143178096439,0.0022437393669862476,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,FES_phase_transition,unseeded,0,,,differentiated_recovery,,,,False,primary non-D12 contrast,,,,,,,,,,,0.5829334973706528,0.19107858206131417,0.7081223897504639,0.33498181370092506,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,FES_phase_transition,artificial_seeded,192,,,differentiated_recovery,,,,False,primary non-D12 contrast,,,,,,,,,,,0.8527441056634562,0.09119690373656007,0.9968473495482366,0.0020949271684885403,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,h_zero_crossing,endogenous,1309,0.06571604327262921,86.02230064387163,differentiated_recovery,0.9937888198757764,-0.0025354479101464293,-0.003500268762953447,False,primary non-D12 contrast,-0.003266797890254107,0.0022591905648561336,0.5184671140544751,0.001285205219876321,0.4817397324003208,0.0010181077545993158,0.8686972303482818,0.002238999412577122,-0.0018422104949025711,0.0012763315273477667,0.4485092716613964,0.0033402527229700178,0.29033071077607364,0.000817308431724187,234.0,0.0,0.6459789836916625,0.00030774839146752945,0.5269075897220079,0.0010067242168197029,0.9937888198757764,exploratory_polyhedral_or_contrast_result
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,h_zero_crossing,time_shifted,1309,0.06571604327262921,86.02230064387163,differentiated_recovery,,,,False,primary non-D12 contrast,0.0011066383051437296,0.0019118760904325328,0.5217949305638232,0.0011531889320320681,0.4843405052017909,0.0008599611236307789,0.8682215534542079,0.001924400701117661,0.0006932374152438583,0.0010604076756509707,0.4155671761551907,0.0056195783635581,0.28551691596751283,0.0007123164653330132,234.0,0.0,0.6485322705414561,0.00029579316840606414,0.5287082351982471,0.0009080429430385586,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,h_zero_crossing,random_event,1309,0.06571604327262921,86.02230064387163,differentiated_recovery,,,,False,primary non-D12 contrast,0.003033963982128271,0.0020132457419132694,0.5186196418415665,0.0008512762508411785,0.495430743865389,0.0006201211056590765,0.8705227446873028,0.002218614610765726,0.001658058268050876,0.0011132580996805587,0.33763373804007046,0.007042811296704579,0.295044363642567,0.0007856970561846936,236.0,0.0,0.64099371179394,0.0006578483461658062,0.5269935154136858,0.0007796571934351706,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,h_zero_crossing,unseeded,0,,,differentiated_recovery,,,,False,primary non-D12 contrast,,,,,,,,,,,0.5838543448332191,0.1757486319046287,0.7309153860445632,0.29649968911563257,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,h_zero_crossing,artificial_seeded,1309,,,differentiated_recovery,,,,False,primary non-D12 contrast,,,,,,,,,,,0.8767070249707984,0.07783641038422245,0.9970035007671662,0.002339178876405022,0.0,0.0,,,,,,control_or_reference_condition
