anchor_name,event_class,group_col,left_out,n_kept,best_basis,best_score,C10_score,C12_score,C24_score,C10_minus_C12,D24_minus_C12
utc_annual_orbital_phase,FES_phase_transition,event_date_utc,2026-01-31,83,10,0.808746923967631,0.808746923967631,0.6931224640503303,0.6613183499475259,0.11562445991730075,-0.03180411410280437
utc_annual_orbital_phase,FES_phase_transition,event_date_utc,2026-02-01,146,10,0.8683416098944909,0.8683416098944909,0.793101595186853,0.7651240970105193,0.07524001470763797,-0.02797749817633366
utc_annual_orbital_phase,eps72_restoration_onset,event_date_utc,2025-12-21,142,10,0.8876591317940521,0.8876591317940521,0.8256559742868189,0.7882201515770177,0.062003157507233175,-0.03743582270980117
utc_annual_orbital_phase,eps72_restoration_onset,event_date_utc,2025-12-25,135,10,0.9084368433935036,0.9084368433935036,0.8540923724887003,0.8634189830894384,0.05434447090480332,0.009326610600738139
utc_annual_orbital_phase,eps72_restoration_onset,event_date_utc,2026-01-02,141,10,0.8760002294615981,0.8760002294615981,0.8015092633007201,0.7659579852496313,0.07449096616087791,-0.03555127805108882
utc_annual_orbital_phase,eps72_restoration_onset,event_date_utc,2026-01-03,141,10,0.8805288369249306,0.8805288369249306,0.8036642885583805,0.771448453722287,0.0768645483665501,-0.03221583483609347
utc_annual_orbital_phase,eps72_restoration_onset,event_date_utc,2026-01-04,141,10,0.884054591092692,0.884054591092692,0.8061798188685161,0.7785667582203579,0.07787477222417594,-0.02761306064815816
utc_annual_orbital_phase,eps72_restoration_onset,event_date_utc,2026-01-31,61,10,0.7591917045105736,0.7591917045105736,0.6250119897020832,0.5768496831769354,0.13417971480849045,-0.04816230652514775
utc_annual_orbital_phase,eps72_restoration_onset,event_date_utc,2026-02-01,121,10,0.8468505585789772,0.8468505585789772,0.7611496919085757,0.7206905292173589,0.08570086667040144,-0.040459162691216854
utc_annual_orbital_phase,h_zero_crossing,event_date_utc,2025-12-21,1245,10,0.8966661371188753,0.8966661371188753,0.8372033118566825,0.8043233953352786,0.05946282526219282,-0.032879916521403874
utc_annual_orbital_phase,h_zero_crossing,event_date_utc,2025-12-25,1213,10,0.9017509321402541,0.9017509321402541,0.8393915437243279,0.8542584993820204,0.062359388415926253,0.014866955657692471
utc_annual_orbital_phase,h_zero_crossing,event_date_utc,2026-01-02,1257,10,0.8766322367317563,0.8766322367317563,0.7975922259580107,0.7702573623824974,0.07904001077374556,-0.02733486357551329
utc_annual_orbital_phase,h_zero_crossing,event_date_utc,2026-01-03,1262,10,0.8798282311253811,0.8798282311253811,0.7981605743238652,0.7740360056684057,0.08166765680151589,-0.024124568655459533
utc_annual_orbital_phase,h_zero_crossing,event_date_utc,2026-01-04,1265,10,0.8819840943500972,0.8819840943500972,0.799312320269943,0.7789723289199534,0.08267177408015414,-0.02033999134998965
utc_annual_orbital_phase,h_zero_crossing,event_date_utc,2026-01-31,591,10,0.7713015045760065,0.7713015045760065,0.628691144010525,0.6055800548912504,0.1426103605654816,-0.023111089119274508
