topology_name,condition,null_index,n_nodes,n_directed_edges,null_model,carrier_score
"C6(1,2)",seeded,3,6,24,degree-matched directed random graph,0.6123457623414926
"C6(1,2)",seeded,4,6,24,degree-matched directed random graph,0.6302831653205158
"C6(1,2)",seeded,5,6,24,degree-matched directed random graph,0.621774751467249
"C6(1,2)",seeded,6,6,24,degree-matched directed random graph,0.6488666017688367
"C6(1,2)",seeded,7,6,24,degree-matched directed random graph,0.6328385462780413
"C6(1,2)",seeded,8,6,24,degree-matched directed random graph,0.6384219474472543
"C6(1,2)",seeded,9,6,24,degree-matched directed random graph,0.619461101673206
"C6(1,2)",seeded,10,6,24,degree-matched directed random graph,0.6741396364394737
"C6(1,2)",seeded,11,6,24,degree-matched directed random graph,0.6093286694676787
"C6(1,2)",seeded,12,6,24,degree-matched directed random graph,0.6867619379924371
"C6(1,2)",seeded,13,6,24,degree-matched directed random graph,0.6358653606290801
"C6(1,2)",seeded,14,6,24,degree-matched directed random graph,0.614414402431492
"C6(1,2)",seeded,15,6,24,degree-matched directed random graph,0.6620794618751911
"C6(1,2)",seeded,16,6,24,degree-matched directed random graph,0.636297892938803
"C6(1,2)",seeded,17,6,24,degree-matched directed random graph,0.6297556796766509
"C6(1,2)",seeded,18,6,24,degree-matched directed random graph,0.6587069866149782
"C6(1,2)",seeded,19,6,24,degree-matched directed random graph,0.6068938057056353
"C6(1,2)",seeded,20,6,24,degree-matched directed random graph,0.6286679374999823
"C6(1,2)",seeded,21,6,24,degree-matched directed random graph,0.6346444359769079
"C6(1,2)",seeded,22,6,24,degree-matched directed random graph,0.6278402676904065
"C6(1,2)",seeded,23,6,24,degree-matched directed random graph,0.6434645975029978
"C6(1,2)",seeded,24,6,24,degree-matched directed random graph,0.6511038978887537
"C6(1,2)",seeded,25,6,24,degree-matched directed random graph,0.6472075701176565
"C6(1,2)",seeded,26,6,24,degree-matched directed random graph,0.6480748104251115
"C6(1,2)",seeded,27,6,24,degree-matched directed random graph,0.6604772479553855
"C6(1,2)",seeded,28,6,24,degree-matched directed random graph,0.6840558387123236
"C6(1,2)",seeded,29,6,24,degree-matched directed random graph,0.6140348744329485
"C6(1,2)",seeded,30,6,24,degree-matched directed random graph,0.6241870141071352
"C6(1,2)",seeded,31,6,24,degree-matched directed random graph,0.6326233863961879
"C6(1,2)",seeded,32,6,24,degree-matched directed random graph,0.6310830686509887
"C6(1,2)",seeded,33,6,24,degree-matched directed random graph,0.6577155890436286
"C6(1,2)",seeded,34,6,24,degree-matched directed random graph,0.6701654746306089
"C6(1,2)",seeded,35,6,24,degree-matched directed random graph,0.6164739025773257
"C6(1,2)",seeded,36,6,24,degree-matched directed random graph,0.6184632557662154
"C6(1,2)",seeded,37,6,24,degree-matched directed random graph,0.651544791617448
"C6(1,2)",seeded,38,6,24,degree-matched directed random graph,0.6150400115438655
"C6(1,2)",seeded,39,6,24,degree-matched directed random graph,0.652218650868299
"C6(1,2)",seeded,40,6,24,degree-matched directed random graph,0.65384818728736
"C6(1,2)",seeded,41,6,24,degree-matched directed random graph,0.6825540520139268
"C6(1,2)",seeded,42,6,24,degree-matched directed random graph,0.6267245976787901
"C6(1,2)",seeded,43,6,24,degree-matched directed random graph,0.6414613333016563
"C6(1,2)",seeded,44,6,24,degree-matched directed random graph,0.6501907321250474
"C6(1,2)",seeded,45,6,24,degree-matched directed random graph,0.6281213135204529
"C6(1,2)",seeded,46,6,24,degree-matched directed random graph,0.6434311356336545
"C6(1,2)",seeded,47,6,24,degree-matched directed random graph,0.6128664488187454
"C6(1,2)",seeded,48,6,24,degree-matched directed random graph,0.6407239510247805
"C6(1,2)",seeded,49,6,24,degree-matched directed random graph,0.6270768522114138
"C6(1,2)",seeded,50,6,24,degree-matched directed random graph,0.6126846637936818
"C6(1,2)",seeded,51,6,24,degree-matched directed random graph,0.6585111485482338
"C6(1,2)",seeded,52,6,24,degree-matched directed random graph,0.6425013874424581
"C6(1,2)",seeded,53,6,24,degree-matched directed random graph,0.6339820888863829
"C6(1,2)",seeded,54,6,24,degree-matched directed random graph,0.6543238050372526
"C6(1,2)",seeded,55,6,24,degree-matched directed random graph,0.6229811565593749
"C6(1,2)",seeded,56,6,24,degree-matched directed random graph,0.6610436423573407
"C6(1,2)",seeded,57,6,24,degree-matched directed random graph,0.6439522942741819
"C6(1,2)",seeded,58,6,24,degree-matched directed random graph,0.6465427013393052
"C6(1,2)",seeded,59,6,24,degree-matched directed random graph,0.6090821231171096
"C6(1,2)",seeded,60,6,24,degree-matched directed random graph,0.6242410957043848
"C6(1,2)",seeded,61,6,24,degree-matched directed random graph,0.653781865904401
"C6(1,2)",seeded,62,6,24,degree-matched directed random graph,0.6647384878149178
"C6(1,2)",seeded,63,6,24,degree-matched directed random graph,0.6182999149311266
"C6(1,2)",seeded,64,6,24,degree-matched directed random graph,0.6493724942788
"C6(1,2)",seeded,65,6,24,degree-matched directed random graph,0.6426567191974109
"C6(1,2)",seeded,66,6,24,degree-matched directed random graph,0.6409855147221704
"C6(1,2)",seeded,67,6,24,degree-matched directed random graph,0.6760076433732538
"C6(1,2)",seeded,68,6,24,degree-matched directed random graph,0.6676024669597111
"C6(1,2)",seeded,69,6,24,degree-matched directed random graph,0.6590034031440248
"C6(1,2)",seeded,70,6,24,degree-matched directed random graph,0.6236812809738197
"C6(1,2)",seeded,71,6,24,degree-matched directed random graph,0.6234682555095145
"C6(1,2)",seeded,72,6,24,degree-matched directed random graph,0.6562652969824088
"C6(1,2)",seeded,73,6,24,degree-matched directed random graph,0.6449762516578774
"C6(1,2)",seeded,74,6,24,degree-matched directed random graph,0.652464461458622
"C6(1,2)",seeded,75,6,24,degree-matched directed random graph,0.6428288895705888
"C6(1,2)",seeded,76,6,24,degree-matched directed random graph,0.6745481543583833
"C6(1,2)",seeded,77,6,24,degree-matched directed random graph,0.6349281397881615
"C6(1,2)",seeded,78,6,24,degree-matched directed random graph,0.6349779684589834
"C6(1,2)",seeded,79,6,24,degree-matched directed random graph,0.6303560927037326
"C8(1,2)",unseeded,0,8,32,degree-matched directed random graph,0.659460947070351
"C8(1,2)",unseeded,1,8,32,degree-matched directed random graph,0.6659745807832285
"C8(1,2)",unseeded,2,8,32,degree-matched directed random graph,0.6734224421360585
"C8(1,2)",unseeded,3,8,32,degree-matched directed random graph,0.661835166065464
"C8(1,2)",unseeded,4,8,32,degree-matched directed random graph,0.669112553177671
"C8(1,2)",unseeded,5,8,32,degree-matched directed random graph,0.6631579280827831
"C8(1,2)",unseeded,6,8,32,degree-matched directed random graph,0.6664454807537128
"C8(1,2)",unseeded,7,8,32,degree-matched directed random graph,0.6625777337644684
"C8(1,2)",unseeded,8,8,32,degree-matched directed random graph,0.6630103199944608
"C8(1,2)",unseeded,9,8,32,degree-matched directed random graph,0.669704425185537
"C8(1,2)",unseeded,10,8,32,degree-matched directed random graph,0.6724653456348445
"C8(1,2)",unseeded,11,8,32,degree-matched directed random graph,0.6789388861989077
